,temp_outdoor,hum_outdoor,co2_outdoor,temp_living_room,hum_living_room,co2_living_room,tvoc_living_room,pm25_living_room,pir_living_room,pres_living_room,pm10_living_room,temp_indoor,hum_indoor,co2_indoor,current_fridge,power_fridge,voltage_fridge,energy_fridge,om_cloud_cover,om_temperature,om_humidity,om_rain,om_radiation,pv_energy,pv_power,pp_energy,synergy_consumption,synergy_production,synergy_net,f_temp_indoor,f_temp_outdoor,f_solar_norm,f_grid_import_norm,f_grid_export_norm,f_hour_sin,f_hour_cos,f_t_lag_1h,f_t_lag_2h,f_t_lag_3h,f_indoor_outdoor_delta,datetime_perth,epoch
2025-05-07 18:00:00+08:00,19.606666666666666,62.9,0.0,,,,,,,,,20.64,66.8,0.0,,,,,28.0,20.0,62.0,0.0,0.0,0.0,0.0,,0.517999991774559,0.0,-0.517999991774559,0.44251988709263534,0.4166249791562448,0.0,0.09877955232048694,0.0,-1.0,-1.8369701987210297e-16,0.4448293559148062,0.4464973056197075,0.4417500641519117,0.025894907936390543,2025-05-07 18:00:00,1746612000
2025-05-07 19:00:00+08:00,18.62,65.89999999999999,0.0,,,,,,,,,20.52333333333333,64.73333333333333,0.0,,,,,0.0,18.9,64.0,0.0,0.0,0.0,,,0.4229999929666519,0.0,-0.4229999929666519,0.4380292532717473,0.39194597298649325,,0.08066361119750728,0.0,-0.9659258262890684,0.2588190451025203,0.44251988709263534,0.4448293559148062,0.4464973056197075,0.04608328028525405,2025-05-07 19:00:00,1746615600
2025-05-07 20:00:00+08:00,17.466666666666665,69.39999999999999,0.0,,,,,,,,,20.59,66.86666666666667,0.0,,,,,0.0,18.0,66.0,0.0,0.0,0.0,,,0.4560000002384186,0.0,-0.4560000002384186,0.4405953297408262,0.3630982157745539,,0.08695651852692786,0.0,-0.8660254037844386,0.5000000000000001,0.4380292532717473,0.44251988709263534,0.4448293559148062,0.07749711396627229,2025-05-07 20:00:00,1746619200
2025-05-07 21:00:00+08:00,16.386666666666667,72.13333333333333,0.0,,,,,,,,,20.63,64.39999999999999,0.0,,,,,0.0,16.7,68.0,0.0,0.0,0.0,,,0.3210000097751617,0.0,-0.3210000097751617,0.44213497562227344,0.33608470902117726,,0.06121281421614825,0.0,-0.7071067811865477,0.7071067811865474,0.4405953297408262,0.4380292532717473,0.44251988709263534,0.10605026660109618,2025-05-07 21:00:00,1746622800
2025-05-07 22:00:00+08:00,15.946666666666667,72.2,0.0,,,,,,,,,20.52333333333333,63.23333333333333,0.0,,,,,29.0,16.8,66.0,0.0,0.0,0.0,,,0.2119999974966049,0.0,-0.2119999974966049,0.4380292532717473,0.3250792062698016,,0.04042715285171842,0.0,-0.5000000000000004,0.8660254037844384,0.44213497562227344,0.4405953297408262,0.4380292532717473,0.11295004700194572,2025-05-07 22:00:00,1746626400
2025-05-07 23:00:00+08:00,16.133333333333336,70.33333333333333,0.0,,,,,,,,,20.313333333333333,63.53333333333333,0.0,,,,,22.0,16.6,66.0,0.0,0.0,0.0,,,0.1670000031590461,0.0,-0.1670000031590461,0.42994611239414926,0.3297482074370519,,0.03184591855505251,0.0,-0.25881904510252157,0.9659258262890681,0.4380292532717473,0.44213497562227344,0.4405953297408262,0.10019790495709735,2025-05-07 23:00:00,1746630000
2025-05-08 00:00:00+08:00,15.813333333333333,70.7,0.0,,,,,,,,,20.133333333333333,63.70000000000001,0.0,,,,,11.0,16.5,65.0,0.0,0.0,0.0,,,1.881999969482422,0.0,-1.881999969482422,0.4230177059276366,0.3217442054360513,,0.3588863270359885,0.0,0.0,1.0,0.42994611239414926,0.4380292532717473,0.44213497562227344,0.10127350049158529,2025-05-08 00:00:00,1746633600
2025-05-08 01:00:00+08:00,15.356666666666667,72.66666666666667,0.0,,,,,,,,,19.94666666666667,63.1,0.0,,,,,16.0,16.3,65.0,0.0,0.0,0.0,,,0.1649999991059303,0.0,-0.1649999991059303,0.4158326918142161,0.3103218275804569,,0.03146452954319338,0.0,0.25881904510252074,0.9659258262890683,0.4230177059276366,0.42994611239414926,0.4380292532717473,0.10551086423375922,2025-05-08 01:00:00,1746637200
2025-05-08 02:00:00+08:00,15.123333333333333,73.73333333333333,0.0,,,,,,,,,19.77,62.56666666666666,0.0,,,,,11.0,16.1,66.0,0.0,0.0,0.0,,,0.2060000002384185,0.0,-0.2060000002384185,0.40903258917115726,0.30448557612139404,,0.0392829886577048,0.0,0.49999999999999994,0.8660254037844387,0.4158326918142161,0.4230177059276366,0.42994611239414926,0.10454701304976322,2025-05-08 02:00:00,1746640800
2025-05-08 03:00:00+08:00,15.613333333333335,73.66666666666667,0.0,,,,,,,,,19.64,62.333333333333336,0.0,,,,,11.0,15.9,68.0,0.0,0.0,0.0,,,0.2100000008940696,0.0,-0.2100000008940696,0.4040287400564537,0.3167417041854261,,0.04004576526064117,0.0,0.7071067811865475,0.7071067811865476,0.40903258917115726,0.4158326918142161,0.4230177059276366,0.0872870358710276,2025-05-08 03:00:00,1746644400
2025-05-08 04:00:00+08:00,15.323333333333332,74.83333333333333,0.0,,,,,,,,,19.526666666666667,62.4,0.0,,,,,14.0,15.6,69.0,0.0,0.0,0.0,,,0.1670000031590461,0.0,-0.1670000031590461,0.39966641005901976,0.30948807737201933,,0.03184591855505251,0.0,0.8660254037844386,0.5000000000000001,0.4040287400564537,0.40903258917115726,0.4158326918142161,0.09017833268700043,2025-05-08 04:00:00,1746648000
2025-05-08 05:00:00+08:00,14.846666666666666,76.60000000000001,0.0,,,,,,,,,19.42,63.03333333333333,0.0,,,,,21.0,15.4,70.0,0.0,0.0,0.0,,,0.3240000009536743,0.0,-0.3240000009536743,0.39556068770849373,0.2975654493913623,,0.061784894892373154,0.0,0.9659258262890683,0.25881904510252074,0.39966641005901976,0.4040287400564537,0.40903258917115726,0.09799523831713142,2025-05-08 05:00:00,1746651600
2025-05-08 06:00:00+08:00,14.67,77.33333333333333,0.0,,,,,,,,,19.36,64.16666666666667,0.0,,,,,6.0,15.2,70.0,0.0,0.0,0.0,0.0,,1.6600000262260437,0.0,-1.6600000262260437,0.39325121888632275,0.29314657328664334,0.0,0.31655224333279336,0.0,1.0,6.123233995736766e-17,0.39556068770849373,0.39966641005901976,0.4040287400564537,0.10010464559967941,2025-05-08 06:00:00,1746655200
2025-05-08 07:00:00+08:00,14.723333333333334,77.89999999999999,0.0,,,,,,,,,19.233333333333334,64.3,0.0,,,,,14.0,15.0,71.0,0.0,0.0,0.23816249999999972,238.1625,,0.8420000076293945,0.041000000142958,-0.8010000074864365,0.38837567359507313,0.2944805736201434,0.052516399717923073,0.1605644500544239,0.0209130324422696,0.9659258262890683,-0.25881904510252063,0.39325121888632275,0.39556068770849373,0.39966641005901976,0.09389509997492973,2025-05-08 07:00:00,1746658800
2025-05-08 08:00:00+08:00,16.49,75.2,0.0,,,,,,,,,19.16,63.96666666666667,0.0,,,,,19.0,16.0,68.0,0.0,92.8,0.8340533333333328,834.4558472686734,,0.0,0.3015000000596046,0.3015000000596046,0.38555298947908645,0.3386693346673336,0.184003009802634,0.0,0.15378729903916274,0.8660254037844387,-0.49999999999999983,0.38837567359507313,0.39325121888632275,0.39556068770849373,0.04688365481175283,2025-05-08 08:00:00,1746662400
2025-05-08 09:00:00+08:00,18.726666666666667,69.23333333333333,0.0,,,,,,,,,19.24,63.699999999999996,0.0,,,,,3.0,18.0,66.0,0.0,255.6,1.7303152777777775,1730.3152777777777,,0.0860000010579824,0.5464999973773956,0.46049999631941324,0.3886322812419809,0.39461397365349343,0.38154591409565686,0.016399694476763753,0.27875541792691244,0.7071067811865476,-0.7071067811865475,0.38555298947908645,0.38837567359507313,0.39325121888632275,-0.005981692411512529,2025-05-08 09:00:00,1746666000
2025-05-08 10:00:00+08:00,20.80666666666667,62.4,0.0,,,,,,,,,19.47,63.53333333333333,0.0,,,,,0.0,20.6,59.0,0.0,415.3,2.899179444444444,2899.1794444444445,,0.0,0.9474999904632568,0.9474999904632568,0.3974852450603027,0.44663998665999677,0.6392881606400277,0.0,0.4832950724516422,0.49999999999999994,-0.8660254037844387,0.3886322812419809,0.38555298947908645,0.38837567359507313,-0.049154741599694074,2025-05-08 10:00:00,1746669600
